2012년 제작결함 현황,,,,
제작사,차명,생산기간,리콜개시일,리콜사유
스투트가르트스포츠카㈜,카이엔카이엔S카이엔 디젤카이엔S하이브리드카이엔터보,`10.3.8~`12.1.31,12.3.5,전조등의 조립방법이 일반적인 차량과 달라 자동차를 정비하는 과정에서 전조등조립이 정상적으로 되지 않아 주행 중 차체에서 떨어져 안전운행에 지장
스투트가르트스포츠카㈜,911카레라911카레라s911카레라 카브리올레911카레라s 카브리올레,`11.9.8~`12.1.24,12.4.2,연료파이프 연결장치가 냉각수 파이프와 닿을 경우 냉각수 열에 의한 변형으로 연료가 누유 되어 시동이 꺼져 안전운행에 지장
스투트가르트스포츠카㈜,박스터 S,`12.1.9~`12.4.18,12.5.2,연료라인 연결장치 결함으로 주행 중 누유되어 안전운행에 지장
스투트가르트스포츠카㈜,파나메라 터보 파워 킷파나메라 터보 S,`11.4.27~`12.5.22,12.8.1,엔진의 출력을 증가시켜 주는 터보차저의 내구성이 저하되어 엔진 출력 저하 및 엔진오일이 누유
스투트가르트스포츠카㈜,911 GT3,`09.10.2~`09.12.2,12.12.26,뒤 차축의 휠 허브 및 휠베어링이 조기마모 되어 파손될 경우 안전운행에 지장
볼보자동차코리아㈜,S80XC70XC60V60S60,`11.5.16~`11.10.14,12.4.6,운전석 및 조수석 하단에 있는 전기배선의 고정이 부적절하여 운행 중 승객의 체중에 의해 좌석이 눌려지면서 배선이 끊어져 에어백이 작동되지 않아 안전운행에 지장
한국닛산㈜,M56QX56,`09.10.7~`11.11.25,12.3.26,"연료라인에 부착되어 있는 연료압력센서가 규정보다 낮은 힘으로 조립되어 연료가 누유 될 가능성이 있고, 주행 중 시동이 꺼져 안전운행에 지장"
한국닛산㈜,JX35,`12.2.15~`12.6.22,12.10.10,연료탱크 내 연료량을 정상적으로 감지하지 못하여 주행 중 시동이 꺼질수 있어 안전운행에 지장
크라이슬러코리아㈜,그랜더보이저,`07.12.10~`08.1.30,12.4.10,에어컨 방열기에서 발생한 물이 차체외부로 배출되어야 하나 에어백제어장치로 유입되어 에어백이 정상적으로 작동되지 않아 안전운행에 지장 
크라이슬러코리아㈜,300C,`11.3.21~`11.12.20,12.6.14,전원분배장치(퓨즈박스) 내 ABS 및 ESC 관련배선 과열로 시스템이 작동되지 않아 안전운행에 지장
비엠더블유그룹코리아㈜,Cooper S ,`07.3.1~`11.1.18,12.2.10,압축된 공기를 강제로 엔진에 넣어 출력을 향상 시켜주는 터보의 냉각펌프 제어장치 결함으로 냉각펌프에 화재가 발생하여 안전운행에 지장
비엠더블유그룹코리아㈜,520i520d523i525i525xi525d528i528xi530i530d530xi535i535d535xi545i550iM5650i645CiM6,`03.4.8``10.3.24,12.4.13,배터리 케이블이 차체에 정확히 고정되지 않아 차체진동에 의해 배터리 연결부위가 느슨해져 전기저항이 증가하여 화재가 발생할 가능성이 있어 안전운행에 지장
비엠더블유그룹코리아㈜,X5MX6MX6650I550IX760LI750LIX750LIMINI COOPER SROLLS-ROYCE GHOST,`11.3.31~`11.6.15,12.5.4,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장
비엠더블유그룹코리아㈜,X5X6,`12.4.24~`12.5.25,12.7.13,파워핸들 기어박스에서 오일이 누유되어 주행중 핸들이 무거워지거나 화재의 위험이 있어 안전운행에 지장
비엠더블유그룹코리아㈜,120dZ4,`11.6.25~`11.12.2,12.8.3,전기식 파워핸들 결함으로 주행 중 갑자기 핸들이 무거워져 안전운행에 지장
비엠더블유그룹코리아㈜,M5M6,`12.7.24~`12.9.4,12.10.19,엔진오일 펌프의 제작결함으로 엔진오일이 충분이 공급되지 않아 운행 중 시동이 꺼져 안전운행에 지장
비엠더블유그룹코리아㈜,X5X6,`06.12.11~`10.2.22,12.12.17,벨트를 걸어 회전시켜주는 팬벨트 풀리의 고정 볼트결함으로 운행 중 풀리가 고정되지 않고 풀릴 수 있고 이 경우 팬벨트가 파워핸들 유압펌프를 회전시키지 못해 주행 중 핸들이 무거워질 수 있어 안전운행에 지장
포드세일즈서비스코리아(유),포커스,`11.6.13~`11.10.18,12.4.30,와이퍼 모터 커넥터에 수분이 유입되어 작동이 되지 않아 운전자의 시야확보가 어려워 안전운행에 지장
포드세일즈서비스코리아(유),이스케이프,`99.10.22~`02.7.19,12.8.3,브레이크 오일탱크에서 오일이 누유 되어 오일에 의한 전기배선 합선으로 화재가 발생할 가능성이 발견되었
포드세일즈서비스코리아(유),이스케이프,`12.5.22~`12.7.11,12.8.13,엔진과 연결되느 연료파이프에서 연료가 누유되어 화재 가능성이 있어 안전운행에 지장
포드세일즈서비스코리아(유),이스케이프,`12.3.8~`12.6.7,12.8.13,운전석 중앙 사이드 트림과 브레이크 페달의 간격이 좁아 운전자의 발과 트림이 간섭될 수 이 간섭될수 있고 이경우 제동이 되지 않을 가능성이 있어 안전운행에 지장
포드세일즈서비스코리아(유),이스케이프,`12.3.8~`12.8.31,12.9.28,엔진 실린더 헤드 플러그에서 냉각수가 누수되고 엔진열에 의한 화재 가능성이 있어 안전운행에 지장
포드세일즈서비스코리아(유),이스케이프,`01.04.19~`04.12.12,12.11.6,"엔진커버(덥게)와 정속주행장치 스피드컨트롤케이블 사이 간격이 좁아, 스피트컨트롤케이블이 리턴이 되지 않아 가속상태가 유지되어 안전운행에 지장"
포드세일즈서비스코리아(유),이스케이프,`12.3.8~`12.11.26,12.12.24,엔진제어 프로그램 오류로 엔진 과열현상이 발생하여 엔진오일이 누유 될 경우 화재발생가 발생할 수 있어 안전운행에 지장
만 트럭버스코리아㈜,TGXTGS,`11.2.28~`11.4.5,12.5.31,?파워핸들 유압호스 연결부위(유니언)가 규정된 조임? 압력보다 낮게 조립되어 운행 중 유압오일이 누유 되어 핸들 조작이 어려워져 안전운행에 지장 
아우디폭스바겐코리아㈜,Tiguan2.0TDICC2.0TDI,`11.3.25~`11.9.20,12.6.1,연료 내 이물질을 걸러주는 연료필터 불량으로 운행 중 연료가 누유 되어 화재가 발생할 수 있어 안전운행에 지장
아우디폭스바겐코리아㈜,Q5,`11.6.21~`11.12.9,12.8.7,선루프 유리가 영하20도 정도에서 외부의 충격이 없는 경우에도 갑자기 깨질 수 있어 안전운행에 지장
혼다코리아㈜,CR-V,`11.6.29~`12.6.15,12.8.1,운전석 문 잠금장치 결함으로 충돌 사고 시 문이 열릴 수 있어 안전운행에 지장
볼보그룹코리아㈜ 그룹,FH 6*2 트랙터FH 6*4 트랙터FM 6*2 트랙터FM 6*4 트랙터FH16 6*4 트랙터FH 8*4 카고트럭FM 8*4 카고트럭FM 6*4 카고트럭,`11.11.14~`12.6.30,12.8.8,엔진의 열이 차체로 전달되는 것을 방지하기 위하여 설치한 열차폐장치가 차량 진동에 의해 전기배선에 떨어져 화재가 발생할 수 있어 안전운행에 지장
한불모터스㈜,508SW1.6 HDI MCP508SW2.0HDI508 1.6HDI MCP508 2.0HDI508 2.2HDI,`11.1.10~`12.6.1,12.8.29,영하의 추운 날씨에 밧데리 전압이 너무 낮아지는 경우 전기로 작동하는 주차브레이크가 해제가 되지 않아 안전운행에 지장
한불모터스㈜,푸조 디젤308 1.6 MCP HDI,`11.6.22~`11.7.29,12.10.17,조향장치를 고정해주는 마운팅 너트가 풀려 운전자가 의도하지 않은 방향으로 진행할 수 있어 안전운행에 지장 
